target_word,subcategory,final_generated_cue,image_prompt,raw_image_path,mobile_image_path,generation_status,error_message
拐杖,輔具,需要定期檢查和調節松緊程度,"a realistic 拐杖, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\輔具\拐杖.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\輔具\拐杖.jpg,success,
藥盒,輔具,需要定期檢查密封性，保持藥物干凈,"a realistic 藥盒, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\輔具\藥盒.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\輔具\藥盒.jpg,success,
假牙,輔具,,"a realistic 假牙, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\輔具\假牙.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\輔具\假牙.jpg,success,
游泳池,運動場所,在陽光下嬉戲，水中暢游,"a realistic 游泳池, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\運動場所\游泳池.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\運動場所\游泳池.jpg,success,
操場,運動場所,,"a realistic 操場, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\運動場所\操場.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\運動場所\操場.jpg,success,
藥局,醫療場所,詢問失語症患者通常會使用哪些具體的語意提示,"a realistic 藥局, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\醫療場所\藥局.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\醫療場所\藥局.jpg,success,
醫院,醫療場所,詢問失語症患者通常會使用哪些具體的語意提示,"a realistic 醫院, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\醫療場所\醫院.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\醫療場所\醫院.jpg,success,
郵局,金融機構,透過信件和金錢交易，提供收發服務,"a realistic 郵局, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\金融機構\郵局.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\金融機構\郵局.jpg,success,
熱水瓶,電器用品,蓋上蓋子，倒滿冷水，開始煮沸,"a realistic 熱水瓶, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\熱水瓶.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\熱水瓶.jpg,success,
除濕機,電器用品,冷風直吹，除濕效果佳,"a realistic 除濕機, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\除濕機.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\除濕機.jpg,success,
電鍋,電器用品,煮飯、加熱食物、炊事工具,"a realistic 電鍋, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\電鍋.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\電鍋.jpg,success,
瓦斯爐,電器用品,火鍋、調味料、煮飯,"a realistic 瓦斯爐, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\瓦斯爐.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\瓦斯爐.jpg,success,
電風扇,電器用品,吹風、清潔、擺放桌面,"a realistic 電風扇, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\電風扇.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\電風扇.jpg,success,
電話,電器用品,手柄、連接線、插座,"a realistic 電話, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\電話.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\電話.jpg,success,
插座,電器用品,插電、放在桌上、廚房常見,"a realistic 插座, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\插座.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\插座.jpg,success,
冰箱,電器用品,冷風、冷藏、旋轉、放置桌上,"a realistic 冰箱, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\冰箱.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\冰箱.jpg,success,
電燈,電器用品,壁挂式、暖光、晚上使用,"a realistic 電燈, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\電燈.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\電燈.jpg,success,
吹風機,電器用品,夏天，厨房，挂牆，吹乾頭髮,"a realistic 吹風機, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\吹風機.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\吹風機.jpg,success,
電視,電器用品,視窗、安裝孔、顯示屏,"a realistic 電視, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\電視.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\電視.jpg,success,
烤箱,電器用品,爐子、放餐盤、做蛋糕,"a realistic 烤箱, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\烤箱.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\烤箱.jpg,success,
洗衣機,電器用品,幫忙晾衣服、放桌上,"a realistic 洗衣機, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\洗衣機.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\洗衣機.jpg,success,
吸塵器,電器用品,旋轉手柄、吸盤、地面,"a realistic 吸塵器, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\吸塵器.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\吸塵器.jpg,success,
冷氣,電器用品,,"a realistic 冷氣, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\冷氣.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\冷氣.jpg,success,
手機,電器用品,,"a realistic 手機, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\電器用品\手機.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\手機.jpg,success,
麵,食物,一種由小麥製成的主食,"a realistic 麵, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\麵.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\麵.jpg,success,
漢堡,食物,一種肉質鮮嫩多汁的食物,"a realistic 漢堡, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\漢堡.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\漢堡.jpg,success,
湯圓,食物,一種甜而不咸的小圓形食品,"a realistic 湯圓, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\湯圓.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\湯圓.jpg,success,
水餃,食物,一種皮薄馅大的食物,"a realistic 水餃, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\水餃.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\水餃.jpg,success,
米,食物,一種由稻穀磨碎後加水蒸煮而成的主食,"a realistic 米, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\米.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\米.jpg,success,
豆花,食物,一種由大豆製成的冷飲，通常搭配冰糖和薄荷,"a realistic 豆花, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\豆花.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\豆花.jpg,success,
豆腐,食物,一種由黄豆製成的塊狀食品,"a realistic 豆腐, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\豆腐.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\豆腐.jpg,success,
雞排,食物,一種外觀呈片狀、金黃色的食品,"a realistic 雞排, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\雞排.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\雞排.jpg,success,
牛肉麵,食物,一種紅色、長條形、略帶彈性的主食,"a realistic 牛肉麵, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\牛肉麵.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\牛肉麵.jpg,success,
吐司,食物,一種薄脆的面包片，通常搭配奶油或果酱食用,"a realistic 吐司, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\吐司.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\吐司.jpg,success,
地瓜球,食物,一種圓形的小球狀食品,"a realistic 地瓜球, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\地瓜球.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\地瓜球.jpg,success,
蛋餅,食物,一種薄而脆的餅乾，通常搭配咸味或甜味的,"a realistic 蛋餅, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\蛋餅.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\蛋餅.jpg,success,
蛋糕,食物,一種由面粉和糖製作的甜品,"a realistic 蛋糕, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\蛋糕.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\蛋糕.jpg,success,
飯糰,食物,一種由大米製成的主食,"a realistic 飯糰, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\飯糰.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\飯糰.jpg,success,
火鍋,食物,一種熱辣美味的鍋物,"a realistic 火鍋, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\火鍋.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\火鍋.jpg,success,
冰淇淋,食物,,"a realistic 冰淇淋, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\食物\冰淇淋.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\冰淇淋.jpg,success,
湯匙,餐具,使用時輕拿輕放，保持平穩,"a realistic 湯匙, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\餐具\湯匙.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\餐具\湯匙.jpg,success,
叉子,餐具,,"a realistic 叉子, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\餐具\叉子.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\餐具\叉子.jpg,success,
碗,餐具,,"a realistic 碗, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\餐具\碗.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\餐具\碗.jpg,success,
