詞性,種類,細項,目標詞彙,提示,評分區(林治療師評分區),評分區(王治療師評分區),評分區(邱治療師評分區)
名詞,日常起居,輔具,助聽器,使用這種設備後，能更容易聽見聲音,3,5,3
名詞,日常起居,輔具,假牙,取代掉落或缺失的牙齒,3,2,2
名詞,日常起居,輔具,假牙,可分為全口與局部,4,4,4
名詞,日常起居,輔具,假牙,需要每天清潔，避免細菌滋生,5,5,5
名詞,日常起居,輔具,假牙,剛戴上時可能會有異物感,6,6,6
名詞,日常起居,輔具,假牙,阿公吃飯要戴XX,1,1,1
名詞,日常起居,輔具,假牙,幫助長輩恢復正常飲食,2,3,3
名詞,日常起居,輔具,護膝,主要用來支撐膝蓋,3,1,2
名詞,日常起居,輔具,護膝,減少運動或行走時的不適,1,6,3
名詞,日常起居,輔具,護膝,適合冬天或關節炎患者使用,5,5,6
名詞,日常起居,輔具,護膝,幫助長輩爬樓梯時減輕膝蓋的壓力,6,2,4
名詞,日常起居,輔具,護膝,阿公膝蓋痛要穿XX,2,3,1
名詞,日常起居,輔具,護膝,穿戴需要搭配復健運動，增強膝蓋周圍肌力,4,4,5
名詞,日常起居,輔具,藥盒,幫助分類與管理每天需要服用的藥物,1,1,2
名詞,日常起居,輔具,藥盒,一般有標示「早、午、晚」,2,2,5
名詞,日常起居,輔具,藥盒,有些時間到會發出聲音或震動,5,6,6
名詞,日常起居,輔具,藥盒,可以減少藥物混淆,6,3,1
名詞,日常起居,輔具,藥盒,方便外出時也能準時服用藥物,3,4,4
名詞,日常起居,輔具,藥盒,讓使用者能知道是否已服藥,4,5,3
名詞,日常起居,輔具,輪椅,協助行動不便者移動,3,1,2
名詞,日常起居,輔具,輪椅,阿公不能走路要坐XX,1,2,1
名詞,日常起居,輔具,輪椅,某些款式可折疊，方便攜帶或存放,6,6,5
名詞,日常起居,輔具,輪椅,可手動推動或電動,4,5,3
名詞,日常起居,輔具,輪椅,需要學習如何控制方向與煞車,5,4,6
名詞,日常起居,輔具,輪椅,還需要家人或看護協助推行,2,3,4
名詞,日常起居,文具,原子筆,可用來書寫的工具,1,2,2
名詞,日常起居,文具,原子筆,內含墨水，不需要削,6,4,5
名詞,日常起居,文具,原子筆,按一下或轉一下可推出筆芯,5,5,6
名詞,日常起居,文具,原子筆,各種顏色的筆都有,4,6,4
名詞,日常起居,文具,原子筆,考試、寫作、做筆記都會用到,3,3,3
名詞,日常起居,文具,原子筆,寫字要用XXX,2,1,1
名詞,日常起居,餐具,湯匙,當筷子不好夾東西時，可以用XX輔助,6,3,3
名詞,日常起居,餐具,湯匙,比筷子易使用，適合喝湯或吃流質食物,1,2,4
名詞,日常起居,餐具,湯匙,圓圓的、中間凹陷，用來舀湯或飯的工具,2,4,2
名詞,日常起居,餐具,湯匙,有長長的柄，適合舀杯裡的飲料,4,5,5
名詞,日常起居,餐具,湯匙,嬰兒用的特別小，邊緣圓滑，方便餵食,5,6,6
名詞,日常起居,餐具,湯匙,喝湯要用的,3,1,1
名詞,日常起居,餐具,碗,盛飯、湯或麵的器皿，形狀圓圓的,1,3,4
名詞,日常起居,餐具,碗,可以是陶瓷、不鏽鋼、塑膠或木頭材質製成的,6,6,5
名詞,日常起居,餐具,碗,吃飯要用的,2,1,1
名詞,日常起居,餐具,碗,比盤子深，能夠裝湯湯水水的食物,5,2,6
名詞,日常起居,餐具,碗,吃飯常要拿著它，搭配筷子或湯匙,4,4,2
名詞,日常起居,餐具,碗,中餐桌上，幾乎每個人都有一個自己的X,3,5,3
名詞,日常起居,餐具,叉子,吃西餐常用的餐具,1,2,1
名詞,日常起居,餐具,叉子,由金屬、塑膠或木頭製成,2,5,6
名詞,日常起居,餐具,叉子,通常有 3~4 個尖端,5,4,4
名詞,日常起居,餐具,叉子,可用來叉起肉、蔬菜、義大利麵等,3,3,2
名詞,日常起居,餐具,叉子,和刀子、湯匙常配套使用,4,1,3
名詞,日常起居,餐具,叉子,兒童款的XX會比較圓潤,6,6,5
名詞,日常起居,廚房用品,鍋子,炒菜完要洗XX,4,3,2
名詞,日常起居,廚房用品,鍋子,通常用來炒、燉煮食物,1,2,4
名詞,日常起居,廚房用品,鍋子,在廚房常見，算必備廚具,2,5,5
名詞,日常起居,廚房用品,鍋子,有不鏽鋼、陶瓷、不沾等各種種類,5,4,3
名詞,日常起居,廚房用品,鍋子,料理方式不同也需不同種類,6,6,6
名詞,日常起居,廚房用品,鍋子,這是一個炒菜的XX,3,1,1
名詞,日常起居,廚房用品,菜刀,用來切割食材的廚房工具,1,4,6
名詞,日常起居,廚房用品,菜刀,媽媽切菜用XX,3,2,1
名詞,日常起居,廚房用品,菜刀,有中式、西式、切水果等種類,5,6,5
名詞,日常起居,廚房用品,菜刀,可用來切菜、剁肉、削皮,2,3,4
名詞,日常起居,廚房用品,菜刀,會割傷手指,6,5,3
名詞,日常起居,廚房用品,菜刀,這是一把XX,4,1,2
名詞,日常起居,廚房用品,砧板,切菜時放在上面的工具,2,2,1
名詞,日常起居,廚房用品,砧板,通常用木頭或塑膠製成,4,4,3
名詞,日常起居,廚房用品,砧板,切生食和熟食時要分開使用,3,3,4
名詞,日常起居,廚房用品,砧板,有菜刀就有XX,5,1,2
名詞,日常起居,廚房用品,砧板,廚房必備的用品之一,1,5,6
名詞,日常起居,廚房用品,砧板,表面平整，不會卡住食材或殘渣,6,6,5
名詞,日常起居,調味,糖,一種調味料，吃起來甜甜的,2,1,3
名詞,日常起居,調味,糖,煮菜會加X,1,4,2
名詞,日常起居,調味,糖,有分粗X、細X、砂X、方X,3,2,1
名詞,日常起居,調味,糖,吃太多對胰臟不好,5,6,6
名詞,日常起居,調味,糖,用鍋子炒後會呈現棕色，並帶有焦香味,6,5,4
名詞,日常起居,調味,糖,有些加工食品會用甜味劑取代,4,3,5
名詞,日常起居,調味,鹽,一種調味劑，味道鹹鹹的,6,1,2
名詞,日常起居,調味,鹽,煮菜會加X,3,5,1
名詞,日常起居,調味,鹽,在古代是非常珍貴的物品,5,6,6
名詞,日常起居,調味,鹽,吃多了會洗腎,1,4,3
名詞,日常起居,調味,鹽,台南有一個知名觀光景點是X田,4,2,4
名詞,日常起居,調味,鹽,醃漬、甜點、家常菜等都用得到,2,3,5
名詞,日常起居,交通工具,汽車,四個輪子，在馬路上常見的交通工具,1,6,4
名詞,日常起居,交通工具,汽車,駕駛可以用方向盤控制XX的方向,5,4,6
名詞,日常起居,交通工具,汽車,需要加油才能行駛,6,5,5
名詞,日常起居,交通工具,汽車,爸爸開著一輛XX,2,2,1
名詞,日常起居,交通工具,汽車,高速公路上只能開XX,3,3,2
名詞,日常起居,交通工具,汽車,賓士XX,4,1,3
名詞,日常起居,交通工具,自行車,兩個輪子的交通工具,2,3,4
名詞,日常起居,交通工具,自行車,需要用腳踩踏板才能前進,1,2,2
名詞,日常起居,交通工具,自行車,阿公騎一輛XXX,3,6,1
名詞,日常起居,交通工具,自行車,需要平衡感才能騎得穩,6,1,3
名詞,日常起居,交通工具,自行車,運動或代步皆適合,5,5,5
名詞,日常起居,交通工具,自行車,不使用燃料，沒有污染，是綠色交通工具,4,4,6
名詞,日常起居,交通工具,摩托車,二輪交通工具,1,3,6
名詞,日常起居,交通工具,摩托車,我騎一輛XXX,3,4,1
名詞,日常起居,交通工具,摩托車,馬路上有很多XXX,4,5,2
名詞,日常起居,交通工具,摩托車,需要加汽油或電力才能運行,6,6,5
名詞,日常起居,交通工具,摩托車,有輕型、重型與電動等不同種類,5,1,3
名詞,日常起居,交通工具,摩托車,在台灣街頭非常常見，需要戴安全帽,2,2,4
名詞,日常起居,交通工具,高鐵,台灣最快速行駛的交通工具,1,1,4
名詞,日常起居,交通工具,高鐵,透過電力驅動，行駛於專用軌道上,4,6,5
名詞,日常起居,交通工具,高鐵,有商務車廂、標準車廂等不同座位選擇,5,2,6
名詞,日常起居,交通工具,高鐵,速度快速，最高時速300公里,3,5,2
名詞,日常起居,交通工具,高鐵,連接台北到高雄的主要城市，從北到南,6,4,3
名詞,日常起居,交通工具,高鐵,現在的人都不坐火車了都改搭XX,2,3,1
名詞,日常起居,交通工具,火車,行駛於鐵軌上的長途交通工具,1,5,3
名詞,日常起居,交通工具,火車,阿里山有森林小XX,3,1,1
名詞,日常起居,交通工具,火車,台北很遠所以要搭XX,2,6,5
名詞,日常起居,交通工具,火車,有區間、莒光、自強等不同種類,6,2,2
名詞,日常起居,交通工具,火車,連接台灣全島各主要城市,5,3,4
名詞,日常起居,交通工具,火車,需要購票搭乘，有分自由座和對號座,4,4,6
名詞,日常起居,交通工具,公車,跨越城市、郊區、鄉下的大眾交通工具,1,6,6
名詞,日常起居,交通工具,公車,有些上下都要刷卡,3,2,3
名詞,日常起居,交通工具,公車,票價便宜,5,5,4
名詞,日常起居,交通工具,公車,有固定路線與站牌，需依時刻表搭乘,4,3,5
名詞,日常起居,交通工具,公車,不想搭乘了要按鈴才可離開,6,1,2
名詞,日常起居,交通工具,公車,我要去搭XX,2,4,1
名詞,地點,娛樂場所,電影院,可以看電影的大螢幕場所,3,1,1
名詞,地點,娛樂場所,電影院,需要買票入場,1,3,3
名詞,地點,娛樂場所,電影院,座位排成階梯狀，讓觀眾看得清楚,2,5,6
名詞,地點,娛樂場所,電影院,放映前會播預告片,4,6,5
名詞,地點,娛樂場所,電影院,觀影時燈光會變暗,5,4,4
名詞,地點,娛樂場所,電影院,有些影廳提供 IMAX、4D 等不同體驗,6,2,2
名詞,地點,娛樂場所,公園,提供人們休閒、運動和娛樂的開放空間,1,5,6
名詞,地點,娛樂場所,公園,有綠地、樹木和步道,4,4,5
名詞,地點,娛樂場所,公園,設有兒童遊樂場、涼亭、長椅等設施,5,1,4
名詞,地點,娛樂場所,公園,適合散步、慢跑的區域,6,6,3
名詞,地點,娛樂場所,公園,阿嬤一早起來去XX運動,2,3,2
名詞,地點,娛樂場所,公園,我家附近有一座XX,3,2,1
名詞,地點,交通場所,機場,乘客搭飛機的地方,1,1,1
名詞,地點,交通場所,機場,有入境、出境、航站樓等區域,3,4,2
名詞,地點,交通場所,機場,需要通過安檢才能登機,4,2,5
名詞,地點,交通場所,機場,內部有免稅商店和餐廳,5,6,6
名詞,地點,交通場所,機場,乘客會在這裡辦理登機手續,6,5,4
名詞,地點,交通場所,機場,有飛機跑道供飛機起飛與降落,2,3,3
名詞,地點,學校,圖書館,學生讀書、借書的地方,2,3,2
名詞,地點,學校,圖書館,需要辦借書證才能外借,3,2,5
名詞,地點,學校,圖書館,內部通常很安靜,4,6,3
名詞,地點,學校,圖書館,提供人們借書還書的地方,1,1,1
名詞,地點,學校,圖書館,有些大學的XXX開放 24 小時,6,4,4
名詞,地點,學校,圖書館,有電腦可以查詢館藏資料,5,5,6
名詞,地點,運動場所,操場,可以運動、體育鍛煉的地方,1,3,3
名詞,地點,運動場所,操場,學校裡面都有XX,3,2,1
名詞,地點,運動場所,操場,可以進行跑步、跳遠、木球等運動,5,1,5
名詞,地點,運動場所,操場,有室內和室外兩種形式,4,4,2
名詞,地點,運動場所,操場,學校、社區、公園等地常見,2,5,4
名詞,地點,運動場所,操場,有些設有夜間照明，方便晚間運動,6,6,6
名詞,地點,運動場所,游泳池,可以游泳的地方,1,1,1
名詞,地點,運動場所,游泳池,需要穿泳衣、戴泳帽才能入池,2,4,2
名詞,地點,運動場所,游泳池,分為淺水區與深水區,3,5,3
名詞,地點,運動場所,游泳池,室外XXX夏天人特別多,4,3,5
名詞,地點,運動場所,游泳池,有些地方會有溫水池,5,2,4
名詞,地點,運動場所,游泳池,比賽泳道通常是 50 公尺長,6,6,6
名詞,地點,購物場所,超級市場,購買食品、日用品的大型商店,1,3,3
名詞,地點,購物場所,超級市場,有生鮮區、冷凍區、乾貨區等,3,2,2
名詞,地點,購物場所,超級市場,推購物車或提籃子選購,2,4,4
名詞,地點,購物場所,超級市場,全聯是一家XXXX,4,1,1
名詞,地點,購物場所,超級市場,常有促銷優惠,5,5,5
名詞,地點,購物場所,超級市場,一般會播放輕音樂,6,6,6
名詞,地點,購物場所,菜市場,清晨最熱鬧，賣蔬果、肉類和海鮮的地方,1,2,3
名詞,地點,購物場所,菜市場,許多攤販擺滿新鮮的食材讓人挑選購買,4,3,4
名詞,地點,購物場所,菜市場,早上人最多，中午有些攤位就收攤了,5,1,5
名詞,地點,購物場所,菜市場,肉攤師傅會熟練地切肉，依顧客需求分塊,6,5,6
名詞,地點,購物場所,菜市場,媽媽一早就去XXX,3,6,1
名詞,地點,購物場所,菜市場,要買菜要買肉要去XXX,2,4,2
名詞,地點,金融機構,郵局,可以開戶存錢的地方,1,5,5
名詞,地點,金融機構,郵局,領掛號信要去XX,2,2,1
名詞,地點,金融機構,郵局,郵差工作的地方,3,1,2
名詞,地點,金融機構,郵局,綠色的招牌，這裡可以寄信和包裹,6,3,4
名詞,地點,金融機構,郵局,有些人會來這裡繳水電費或其他帳單,5,6,6
名詞,地點,金融機構,郵局,領包裹時，需要帶身份證或通知單,4,4,3
名詞,地點,醫療場所,藥局,販售藥品及健康用品,1,3,1
名詞,地點,醫療場所,藥局,有藥師提供專業諮詢與指導,2,1,3
名詞,地點,醫療場所,藥局,可以購買處方藥、成藥、保健食品,4,2,2
名詞,地點,醫療場所,藥局,有些會提供血壓量測和領取口罩等服務,5,6,5
名詞,地點,醫療場所,藥局,是獲取藥品的重要場所,6,4,4
名詞,地點,醫療場所,藥局,要買感冒藥要去XX,3,5,6
名詞,地點,醫療場所,醫院,受傷、身體不健康、感冒的人都會去的地方,3,4,2
名詞,地點,醫療場所,醫院,有門診、急診和住院部門,4,3,3
名詞,地點,醫療場所,醫院,可以接受診斷、治療、手術,5,5,4
名詞,地點,醫療場所,醫院,設有內科、外科、婦產科、小兒科等不同科別,6,6,5
名詞,地點,醫療場所,醫院,救護車送受傷的人去XX,2,2,1
名詞,地點,醫療場所,醫院,有醫生有護理師的地方,1,1,6
名詞,自然環境,動物,貓,有柔軟的毛，發出「喵喵」的叫聲,1,1,2
名詞,自然環境,動物,貓,喜歡用舌頭舔毛，把自己整理得乾淨,4,2,3
名詞,自然環境,動物,貓,有時很黏人，有時愛獨處，個性多變,6,6,4
名詞,自然環境,動物,貓,很多人家裡會養的動物,2,3,6
名詞,自然環境,動物,貓,眼睛在黑暗中會發光,5,4,5
名詞,自然環境,動物,貓,這是一隻X,3,5,1
名詞,自然環境,動物,狗,人類最忠實的動物,5,2,3
名詞,自然環境,動物,狗,十二生肖排行十一的動物,2,6,6
名詞,自然環境,動物,狗,四隻腳，會汪汪叫的動物,1,1,1
名詞,自然環境,動物,狗,忠誠又活潑，看到主人會開心地搖尾巴,6,4,2
名詞,自然環境,動物,狗,會幫主人看家的動物,3,3,4
名詞,自然環境,動物,狗,很多人家裡會養的動物,4,5,5
名詞,自然環境,動物,牛,以前農夫常用來耕田的動物,1,2,2
名詞,自然環境,動物,牛,十二生肖排行第二的動物,2,4,5
名詞,自然環境,動物,牛,可做成肉乾食用,6,6,6
名詞,自然環境,動物,牛,主要以草為食，經常在草地上低頭吃草,3,3,3
名詞,自然環境,動物,牛,發出「哞哞」的叫聲,5,1,1
名詞,自然環境,動物,牛,身形壯碩，常見於農村或牧場的動物,4,5,4
名詞,自然環境,動物,雞,早上會叫人們起床的動物,3,3,1
名詞,自然環境,動物,雞,人們會吃牠生的蛋,2,2,4
名詞,自然環境,動物,雞,十二生肖排行第十的動物,1,6,6
名詞,自然環境,動物,雞,有羽毛，兩隻腳，有紅色冠的動物,5,4,3
名詞,自然環境,動物,雞,發出「咯咯咯」的叫聲,4,1,2
名詞,自然環境,動物,雞,吃穀物、蟲子，有時候也會啄地上的食物,6,5,5
名詞,自然環境,動物,豬,常常用來罵人懶惰,5,1,2
名詞,自然環境,動物,豬,十二生肖排行最後的動物,1,5,6
名詞,自然環境,動物,豬,可做成肉乾食用,4,6,4
名詞,自然環境,動物,豬,香腸的主要原料,3,3,3
名詞,自然環境,動物,豬,他真的是笨X,6,2,1
名詞,自然環境,動物,豬,雜食性，愛吃穀物、蔬菜，甚至廚餘,2,4,5
動詞,日常行為,動作,刷牙,正確的XX方式是由上往下、由內到外,6,4,5
動詞,日常行為,動作,刷牙,維持口腔健康的重要日常習慣,5,3,4
動詞,日常行為,動作,刷牙,幫助預防蛀牙和牙周病,4,5,2
動詞,日常行為,動作,刷牙,每天早晚都要做，保持口腔清潔,3,2,3
動詞,日常行為,動作,刷牙,我用牙刷XX,1,1,1
動詞,日常行為,動作,刷牙,飯後進行可以讓口氣更清新,2,6,6
動詞,日常行為,動作,吃飯,一天三餐,6,5,5
動詞,日常行為,動作,吃飯,每天都要做的事情，補充身體所需的能量,5,4,3
動詞,日常行為,動作,吃飯,肚子餓就會想要XX,1,2,1
動詞,日常行為,動作,吃飯,XX前會先洗手,2,1,2
動詞,日常行為,動作,吃飯,要細嚼慢嚥，才好消化食物,4,3,6
動詞,日常行為,動作,吃飯,用筷子、湯匙或叉子，把食物送進嘴裡,3,6,4
動詞,日常行為,動作,睡覺,每天晚上都要做的事，讓身體恢復活力,5,4,5
動詞,日常行為,動作,睡覺,太累的時候會想XX,2,1,1
動詞,日常行為,動作,睡覺,閉上眼睛，躺在床上XX,1,2,2
動詞,日常行為,動作,睡覺,有時候會做夢,4,5,4
動詞,日常行為,動作,睡覺,一張床、一個枕頭和一條被子,3,3,3
動詞,日常行為,動作,睡覺,適當的時間內完成這件事，有助於健康,6,6,6
動詞,日常行為,動作,洗澡,讓身體保持乾淨清新的動作,5,5,6
動詞,日常行為,動作,洗澡,用水、肥皂或沐浴乳洗身體,3,4,4
動詞,日常行為,動作,洗澡,分為淋浴或泡澡,6,2,3
動詞,日常行為,動作,洗澡,我在浴室XX,1,1,1
動詞,日常行為,動作,洗澡,流汗後想去浴室XX,2,3,2
動詞,日常行為,動作,洗澡,沖水時會有水滴從頭到腳流下來,4,6,5
動詞,日常行為,動作,掃地,用工具清理地面上的灰垢和垃圾,2,4,3
動詞,日常行為,動作,掃地,若長期不XX，地上會積滿灰塵或碎屑,3,6,4
動詞,日常行為,動作,掃地,在家裡、學校或辦公室常進行的清潔工作,4,5,5
動詞,日常行為,動作,掃地,會帶著畚箕，把垃圾集中起來倒掉,5,2,2
動詞,日常行為,動作,掃地,搭配拖地效果更好，讓地板變得更潔淨,6,3,6
動詞,日常行為,動作,掃地,阿嬤拿著掃把在XX,1,1,1
動詞,日常行為,動作,摺衣服,洗完衣服晾乾後要做的事,1,3,2
動詞,日常行為,動作,摺衣服,讓衣服變得整齊、不皺,2,6,1
動詞,日常行為,動作,摺衣服,需要雙手對齊衣服的邊緣,4,4,5
動詞,日常行為,動作,摺衣服,常會放進衣櫃或抽屜裡,3,5,4
動詞,日常行為,動作,摺衣服,衣服種類不同，摺法也不同,5,1,3
動詞,日常行為,動作,摺衣服,有些人會用專門的板子來幫助摺整齊,6,2,6
動詞,日常行為,動作,綁鞋帶,穿運動鞋時一定要做的動作,1,6,6
動詞,日常行為,動作,綁鞋帶,需要用兩條長長的帶子,4,3,4
動詞,日常行為,動作,綁鞋帶,我的鞋子要XXX,3,1,1
動詞,日常行為,動作,綁鞋帶,如果沒綁好，走路可能會絆倒,6,4,3
動詞,日常行為,動作,綁鞋帶,小朋友通常需要學習怎麼綁,5,5,5
動詞,日常行為,動作,綁鞋帶,有些鞋子有魔鬼氈，就不用XXX,2,2,2
動詞,日常行為,動作,擦桌子,餐後常做的清潔工作,2,3,2
動詞,日常行為,動作,擦桌子,需要用抹布或紙巾,1,1,1
動詞,日常行為,動作,擦桌子,可以去除灰塵、油漬或水漬,3,2,4
動詞,日常行為,動作,擦桌子,桌子表面變得乾淨又光滑,4,5,3
動詞,日常行為,動作,擦桌子,有時會用消毒噴霧來加強清潔,5,4,5
動詞,日常行為,動作,擦桌子,在餐廳、學校、辦公室都很常見,6,6,6
動詞,日常行為,動作,煮飯,要使用各種食材、廚具和調味料,4,6,6
動詞,日常行為,動作,煮飯,烹飪食物的概述,5,5,3
動詞,日常行為,動作,煮飯,會使用瓦斯爐、電磁爐、烤箱或微波爐料理,6,2,5
動詞,日常行為,動作,煮飯,在廚房會做的日常活動,3,3,4
動詞,日常行為,動作,煮飯,我們家都是媽媽在XX,2,1,1
動詞,日常行為,動作,煮飯,為了吃飯所做的行為,1,4,2
動詞,日常行為,動作,喝水,我拿杯子要XX,2,1,2
動詞,日常行為,動作,喝水,要使用杯子、瓶子或吸管來飲用,1,4,4
動詞,日常行為,動作,喝水,人每天必須做的事,5,5,3
動詞,日常行為,動作,喝水,一天最少飲用1500ml,4,3,6
動詞,日常行為,動作,喝水,杯子是用來XX,3,2,1
動詞,日常行為,動作,喝水,有些人會加入檸檬等來增加味道,6,6,5
動詞,日常行為,動作,聊天,人與人間的交流方式之一,3,2,5
動詞,日常行為,動作,聊天,用語言或文字進行溝通,1,6,2
動詞,日常行為,動作,聊天,可以分享心情、討論事情或開玩笑,2,5,3
動詞,日常行為,動作,聊天,可以使用手機、電腦或社交軟體遠距交流,5,3,4
動詞,日常行為,動作,聊天,在家裡、工作場合、咖啡廳等都很常見,6,4,6
動詞,日常行為,動作,聊天,我很喜歡跟別人一起XX,4,1,1
動詞,日常行為,動作,咳嗽,一種感冒症狀,1,3,3
動詞,日常行為,動作,咳嗽,我喉嚨癢癢的想要XX,3,2,1
動詞,日常行為,動作,咳嗽,新冠病毒的後遺症,2,5,6
動詞,日常行為,動作,咳嗽,與肺部疾病有關,6,4,4
動詞,日常行為,動作,咳嗽,我感冒了一直XX,4,1,2
動詞,日常行為,動作,咳嗽,會泡陳皮和柿餅茶來緩解症狀,5,6,5
動詞,日常行為,動作,上廁所,執行場所通常有分男生、女生或性別友善,1,6,5
動詞,日常行為,動作,上廁所,可以根據需求選擇蹲式或坐式,5,3,4
動詞,日常行為,動作,上廁所,解放生理需求,6,4,2
動詞,日常行為,動作,上廁所,我急著要去XXX,2,1,1
動詞,日常行為,動作,上廁所,有分小便或者大號,4,2,3
動詞,日常行為,動作,上廁所,會坐/蹲在馬桶上執行動作,3,5,6
動詞,日常行為,動作,擦汗,他拿手帕在XX,1,1,1
動詞,日常行為,動作,擦汗,天氣好熱讓人一直XX,2,3,2
動詞,日常行為,動作,擦汗,天氣炎熱或運動後很常見,3,4,5
動詞,日常行為,動作,擦汗,這個動作可以讓人感覺更乾爽,4,2,6
動詞,日常行為,動作,擦汗,會經常發生在額頭、脖子和手臂,5,5,4
動詞,日常行為,動作,擦汗,用力過大可能會讓皮膚泛紅,6,6,3
動詞,日常行為,動作,拍照,大家請排排站好我們要XX,2,3,2
動詞,日常行為,動作,拍照,他拿著相機正在XX,1,1,1
動詞,日常行為,動作,拍照,旅行、聚會或特別時刻常做,6,4,3
動詞,日常行為,動作,拍照,光線、角度和背景會影響結果,5,5,6
動詞,日常行為,動作,拍照,有些人喜歡在鏡頭前擺姿勢,3,2,4
動詞,日常行為,動作,拍照,這個動作能留下回憶，未來可以回顧,4,6,5
動詞,日常行為,動作,量體溫,當身體感覺不舒服時，常做的動作,1,4,3
動詞,日常行為,動作,量體溫,需要使用特定的測量工具,4,6,6
動詞,日常行為,動作,量體溫,可以測量不同部位，例如額頭或腋下,5,3,5
動詞,日常行為,動作,量體溫,太高的數字可能表示身體狀況異常,6,5,4
動詞,日常行為,動作,量體溫,他發燒了所以要XXX,2,2,1
動詞,日常行為,動作,量體溫,用體溫計要XXX,3,1,2
動詞,日常行為,動作,綁頭髮,整理外表，使其更整齊的動作,5,3,3
動詞,日常行為,動作,綁頭髮,需要使用特定的工具來固定,6,4,6
動詞,日常行為,動作,綁頭髮,有不同的方式，例如馬尾或辮子,3,2,2
動詞,日常行為,動作,綁頭髮,做得太緊可能會感到不舒服,4,6,5
動詞,日常行為,動作,綁頭髮,有些運動或活動需要這樣做，才能更方便行動,2,5,4
動詞,日常行為,動作,綁頭髮,媽媽拿髮圈XXX,1,1,1
動詞,日常行為,動作,擦眼鏡,讓一個透明的物品變得更清晰,4,5,6
動詞,日常行為,動作,擦眼鏡,需要使用特殊布料或紙巾來完成,2,2,2
動詞,日常行為,動作,擦眼鏡,太髒的時候，可能會影響視線,1,1,1
動詞,日常行為,動作,擦眼鏡,有時候會搭配特定的液體來幫助清潔,3,4,3
動詞,日常行為,動作,擦眼鏡,太用力可能會導致損壞,5,6,4
動詞,日常行為,動作,擦眼鏡,這個動作通常發生在需要矯正視力的人身上,6,3,5
動詞,日常行為,動作,穿衣服,依不同天氣選擇長袖或短袖,2,3,2
動詞,日常行為,動作,穿衣服,洗完澡後，這個動作能讓身體保暖,3,2,3
動詞,日常行為,動作,穿衣服,遮住身體不裸露,4,5,4
動詞,日常行為,動作,穿衣服,可以做不同的搭配,5,6,6
動詞,日常行為,動作,穿衣服,有時候需要對著鏡子，確保搭配整齊好看,6,4,5
動詞,日常行為,動作,穿衣服,他拿著衣服正在XXX,1,1,1
動詞,日常行為,動作,開門,客人按鈴，主人要幫忙XX,1,2,1
動詞,日常行為,動作,開門,進到屋內需要做的動作,2,3,5
動詞,日常行為,動作,開門,轉動把手，讓進出口變暢通的動作,5,5,6
動詞,日常行為,動作,開門,進到超市、餐廳、便利商店是用感應的,6,6,4
動詞,日常行為,動作,開門,進到超商會有叮咚的聲音,4,4,3
動詞,日常行為,動作,開門,有人來了我要去XX,3,1,2
動詞,日常行為,動作,打噴嚏,身體對灰塵或過敏原的自然反應,1,3,4
動詞,日常行為,動作,打噴嚏,發出「哈嚏」的聲音,2,1,2
動詞,日常行為,動作,打噴嚏,需要用紙巾或手肘遮住口鼻,3,5,3
動詞,日常行為,動作,打噴嚏,可能會讓旁邊的人嚇一跳,4,4,6
動詞,日常行為,動作,打噴嚏,生病時會更頻繁發生,5,5,5
動詞,日常行為,動作,打噴嚏,鼻子癢癢的快要XXX,6,2,1
動詞,日常行為,動作,寫字,使用筆或鉛筆在紙上留下記錄,1,3,1
動詞,日常行為,動作,寫字,學生上課時經常做的事情,6,5,5
動詞,日常行為,動作,寫字,需要控制手部力量，字才不會太輕或太重,5,6,4
動詞,日常行為,動作,寫字,可能會用到橡皮擦來修正錯誤,4,2,3
動詞,日常行為,動作,寫字,有些人寫得工整，有些人寫得潦草,2,4,2
動詞,日常行為,動作,寫字,學生比起成年人更常在XX,3,1,6
動詞,日常行為,動作,穿鞋子,外出前會做的動作,1,6,5
動詞,日常行為,動作,穿鞋子,可能需要綁鞋帶或調整魔鬼氈,4,3,1
動詞,日常行為,動作,穿鞋子,有些鞋子需要用鞋拔子才好穿,7,2,2
動詞,日常行為,動作,穿鞋子,如果穿錯腳，會覺得不舒服,6,4,4
動詞,日常行為,動作,穿鞋子,長時間沒XXX，鞋子可能會有異味,2,1,6
動詞,日常行為,動作,穿鞋子,打赤腳的相反,5,5,3
動詞,日常行為,動作,剪指甲,為了保持手部和腳部的整潔,1,5,5
動詞,日常行為,動作,剪指甲,需要使用專門的小工具,2,6,6
動詞,日常行為,動作,剪指甲,如果剪得太短，可能會感到疼痛,5,4,2
動詞,日常行為,動作,剪指甲,剪完後需要清理指甲碎片,4,2,3
動詞,日常行為,動作,剪指甲,有些人會將指甲磨平,6,3,4
動詞,日常行為,動作,剪指甲,指甲太長了要XXX,3,1,1
動詞,日常行為,動作,削水果,吃水果的處理動作之一,3,3,5
動詞,日常行為,動作,削水果,去除外皮的步驟，最常使用在蘋果上,4,2,3
動詞,日常行為,動作,削水果,使用刨刀一刀一刀的去除果皮,5,1,1
動詞,日常行為,動作,削水果,飯後吃水果的時候就要去XXX,6,4,2
動詞,日常行為,動作,削水果,切水果的前置動作,1,6,4
動詞,日常行為,動作,削水果,通常使用在蘋果、梨子、棗子等較硬的果皮上,2,5,6
動詞,日常活動,休閒娛樂,下象棋,是一種兩人對弈的策略遊戲，要細心思考,5,5,5
